image,name,category,location,color,size,amount,comments,claimed,hidden
"('src', 'https://drive.google.com/thumbnail?id=12YnEfmR9PD2i1mg_pdKIl4j1oneXCwwy&sz=w200-h200')",roll packing paper,Materials ,12 - Tall items/Corner,brown,70 x 200 cm,2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1RUz_qbDwnJAmnPXqr2tzuD_GGmPDRzGz&sz=w200-h200')",Tall livingroom lamp,Lighting,12 - Tall items/Corner,black,about 1.80m,1,"Is not completely straight, and also a bit wobly when moving it",None,0
"('src', 'https://drive.google.com/thumbnail?id=13fDz9j6QnK51YsTVvqnHEKVn0dfbcHmK&sz=w200-h200')",cardboard tubes,Materials ,12 - Tall items/Corner,brown,"~ 1,5 m, 1 m & 70 cm",3,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1Z9x5kDkneqeK7kjdvAPNTplwcrYJ5L4v&sz=w200-h200')",golfclub bag,"Bags, Suitcases and Containers ",12 - Tall items/Corner,black,"~ 1,50 m",2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1uMDSDa3aLLifzdHv8YPYt2ontCZ_ZhhH&sz=w200-h200')",long staff,Melee,12 - Tall items/Corner,black,"a bit over 1,5 m",1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1b4ZDKYs5Sd0vAZcFimlbhZP7qp6LmFE-&sz=w200-h200')",wand,Handheld,12 - Tall items/Corner,black with white tips,,6,can be found in one of the golf club bags,None,0
"('src', 'https://drive.google.com/thumbnail?id=1MopyYTmmhf4YAXqZn9AbIsEHVRhsHcGF&sz=w200-h200')",Flexible plastic stripe and ring set,Materials ,12 - Tall items/Corner,transparant and silver,1m and vingerring size,,These items are stored in a large black quiver of about 1.5m tall,None,0
"('src', 'https://drive.google.com/thumbnail?id=1JYM3_x2lmOrrs4qyGhiwO56E15wcYY3f&sz=w200-h200')",extra poster stabilisation ,Other,12 - Tall items/Corner,silver,about 0.6m in collapsed form,1,This was a part of a poster except the poster itself is broken. The iron rod could be used as a reserve for our banner or for something else,None,1
"('src', 'https://drive.google.com/thumbnail?id=1U5h24ijuNGMxwpqoHtxTU9btCc_vUQN7&sz=w200-h200')",Wheelchair,Chairs,0 - Center of the room,Red,,1,It has detachable foot rests and is collapsible by pulling the seat up,None,0
"('src', 'https://drive.google.com/thumbnail?id=124CcVwg10rdI-XXniTViXXkMeyYpqp6v&sz=w200-h200')",Rocking chair,Chairs,0 - Center of the room,Black,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1-aFEyANYI_Xr_5HkWzquZtd_1AFRE-XZ&sz=w200-h200')",carpet,Large cloths,under the clothing,red,~ 1x2 m,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1Cowd_lXq_HcFJZ1jitm1WEvT219cbe4f&sz=w200-h200')",butterfly dress,Dress,under the clothing,white & blue,,1,used in corpse bride,None,0
"('src', 'https://drive.google.com/thumbnail?id=1M-vIM9BNrZEX66dkHAeiAQk1f-eAUl7i&sz=w200-h200')",Cloth hangers,Items,0 - Center of the room,"black, wood, white",,151,These are the hangers currently not being used for anything. There are different types and the amount  varies per type. Some are specifically for skirts and pants.,None,0
